"","site","lat","lon","Country","Biome","Date","Uncertainty","Technological Complex"
"1","Amadzimba Cave",-20.75,28.75,"Zimbabwe","Savanna Biome",4200,"150","Wilton"
"2","Apollo 11 Cave",-27.75,17.1,"Namibia","Desert Biome",6200,"65",""
"3","Apollo 11 Cave",-27.75,17.1,"Namibia","Desert Biome",9430,"90",""
"4","Apollo 11 Cave",-27.75,17.1,"Namibia","Desert Biome",10420,"80",""
"5","Apollo 11 Cave",-27.75,17.1,"Namibia","Desert Biome",7200,"75",""
"6","Apollo 11 Cave",-27.75,17.1,"Namibia","Desert Biome",6480,"80",""
"7","Apollo 11 Cave",-27.75,17.1,"Namibia","Desert Biome",7280,"80",""
"8","Aspoort Cave",-32.5,19.519,"South Africa","Succulent Karoo Biome",5220,"60",""
"9","Aspoort Cave",-32.5,19.519,"South Africa","Succulent Karoo Biome",9420,"160",""
"10","Aspoort Cave",-32.5,19.519,"South Africa","Succulent Karoo Biome",6850,"145",""
"11","Balerno Main Shelter",-22.265,29.188,"South Africa","Savanna Biome",7350,"80",""
"12","Balerno Main Shelter",-22.265,29.188,"South Africa","Savanna Biome",11040,"90",""
"13","Ballito Bay",-29.52,31.229,"South Africa","Indian Ocean Coastal Belt",5900,"110",""
"14","Banda Cave",-26.2,31.033,"Swaziland","Grassland Biome",5890,"80",""
"15","Belleview",-29.999,29.058,"South Africa","Grassland Biome",7670,"50",""
"16","Blombosfontein 1",-34.4,21.217,"South Africa","Fynbos Biome",6960,"70","Wilton"
"17","Blombosfontein 2",-34.4,21.217,"South Africa","Fynbos Biome",6740,"70","Wilton"
"18","Blombosfontein 3",-34.4,21.217,"South Africa","Fynbos Biome",5960,"70","Wilton"
"19","Blombosfontein 4",-34.4,21.217,"South Africa","Fynbos Biome",5680,"70","Wilton"
"20","Blombosfontein 5",-34.4,21.217,"South Africa","Fynbos Biome",5520,"70","Wilton"
"21","Blombosfontein 6",-34.4,21.217,"South Africa","Fynbos Biome",4070,"60","Wilton"
"22","Blydefontein",-31.13,25.05,"South Africa","Grassland Biome",9400,"100",""
"23","Blydefontein",-31.133,25.05,"South Africa","Grassland Biome",11850,"150","Robberg"
"24","Blydefontein",-31.133,25.05,"South Africa","Grassland Biome",8541,"417","Oakhurst"
"25","Blydefontein",-31.133,25.05,"South Africa","Grassland Biome",4066,"55","Wilton"
"26","Blydefontein",-31.133,25.05,"South Africa","Grassland Biome",4286,"149","Wilton"
"27","Blydefontein",-31.133,25.05,"South Africa","Grassland Biome",4101,"273","Wilton"
"28","Bonawe",-31.317,27.817,"South Africa","Grassland Biome",8040,"100","Oakhurst"
"29","Bonteberg Shelter",-34.2,18.383,"South Africa","Fynbos Biome",4690,"100",""
"30","Boomplaas",-33.383,22.183,"South Africa","Fynbos Biome",10430,"80","Robberg"
"31","Boomplaas",-33.383,22.183,"South Africa","Fynbos Biome",10505,"45","Robberg"
"32","Boomplaas",-33.383,22.183,"South Africa","Fynbos Biome",6400,"75","Wilton"
"33","Boomplaas",-33.383,22.183,"South Africa","Fynbos Biome",9100,"135","Oakhurst"
"34","Boomplaas",-33.383,22.183,"South Africa","Fynbos Biome",10425,"125","Oakhurst"
"35","Brandsebaai 2",-31.35,17.917,"South Africa","Succulent Karoo Biome",4510,"30",""
"36","Buffelskloof",-33.667,21.867,"South Africa","Thicket Biome",5120,"65","Wilton"
"37","Buffelskloof",-33.667,21.867,"South Africa","Thicket Biome",8960,"80","Oakhurst"
"38","Buffelskloof",-33.667,21.867,"South Africa","Thicket Biome",11875,"115",""
"39","Buffelskloof",-33.667,21.867,"South Africa","Thicket Biome",7460,"65","Wilton"
"40","Buffelskloof",-33.667,21.867,"South Africa","Thicket Biome",7300,"120","Wilton"
"41","Bushman Rock  Shelter",-24.583,30.633,"South Africa","Savanna Biome",9940,"80","Oakhurst"
"42","Bushman Rock  Shelter",-24.583,30.633,"South Africa","Savanna Biome",9510,"55","Oakhurst"
"43","Bushman Rock  Shelter",-24.583,30.633,"South Africa","Savanna Biome",9570,"55","Oakhurst"
"44","Buzz Shelter",-31.524,18.6,"South Africa","Succulent Karoo Biome",4551,"54",""
"45","Buzz Shelter",-31.524,18.6,"South Africa","Succulent Karoo Biome",5452,"54",""
"46","Buzz Shelter",-31.524,18.6,"South Africa","Succulent Karoo Biome",4185,"31",""
"47","Byneskranskop 1",-34.583,19.467,"South Africa","Fynbos Biome",5428,"33","Wilton"
"48","Byneskranskop 1",-34.583,19.467,"South Africa","Fynbos Biome",5684,"32","Wilton"
"49","Byneskranskop 1",-34.583,19.467,"South Africa","Fynbos Biome",5263,"33","Wilton"
"50","Byneskranskop 1",-34.583,19.467,"South Africa","Fynbos Biome",5589,"34","Wilton"
"51","Byneskranskop 1",-34.583,19.467,"South Africa","Fynbos Biome",6048,"33","Wilton"
"52","Byneskranskop 1",-34.583,19.467,"South Africa","Fynbos Biome",5872,"33","Oakhurst"
"53","Byneskranskop 1",-34.583,19.467,"South Africa","Fynbos Biome",10015,"45","Oakhurst"
"54","Byneskranskop 1",-34.583,19.467,"South Africa","Fynbos Biome",9760,"85","Oakhurst"
"55","Byneskranskop 1",-34.583,19.467,"South Africa","Fynbos Biome",6370,"90","Wilton"
"56","Byneskranskop 1",-34.583,19.467,"South Africa","Fynbos Biome",6540,"55","Wilton"
"57","Byneskranskop 1",-34.583,19.467,"South Africa","Fynbos Biome",7750,"90","Wilton"
"58","Byneskranskop 1",-34.583,19.467,"South Africa","Fynbos Biome",6100,"140","Wilton"
"59","Byneskranskop 3",-34.583,19.467,"South Africa","Fynbos Biome",4820,"90",""
"60","Cauldwell Shelter",-26.333,31.167,"Swaziland","Grassland Biome",6750,"70",""
"61","Cave James",-25.683,27.983,"South Africa","Savanna Biome",7840,"170",""
"62","Cave James",-25.683,27.983,"South Africa","Savanna Biome",6130,"110","Wilton"
"63","Cave James",-25.683,27.983,"South Africa","Savanna Biome",6740,"270",""
"64","Cha-re Shelter",-23.65,15.917,"Namibia","Desert Biome",5740,"60",""
"65","Cha-re Shelter",-23.65,15.917,"Namibia","Desert Biome",6840,"70",""
"66","Chicaza",-12.89,35.25,"Mozambique","",4048,"20",""
"67","Chicaza",-12.89,35.25,"Mozambique","",6793,"30",""
"68","Chicaza",-12.89,35.25,"Mozambique","",8293,"40",""
"69","Chicaza",-12.89,35.25,"Mozambique","",9163,"25",""
"70","Colwinton",-31.15,27.767,"South Africa","Grassland Biome",6270,"40","Wilton"
"71","Cymot Shelter",-21.917,14.783,"Namibia","Desert Biome",5740,"110",""
"72","Deurspring 16",-32.006,18.305,"South Africa","Fynbos Biome",4800,"60",""
"73","Deurspring 16",-32.006,18.305,"South Africa","Fynbos Biome",5390,"70",""
"74","Diamond Shelter",-28.492,28.948,"South Africa","Grassland Biome",4900,"60","Wilton"
"75","Diaz Street Midden",-33.009,17.94,"South Africa","Fynbos Biome",5690,"40",""
"76","Diaz Street Midden",-33.009,17.94,"South Africa","Fynbos Biome",5300,"40",""
"77","Dikbosch 1",-28.652,23.903,"South Africa","Savanna Biome",8010,"60","Wilton"
"78","Doorspring 1",-32,18.3,"South Africa","Fynbos Biome",5130,"50",""
"79","Doorspring 1",-32,18.3,"South Africa","Fynbos Biome",4090,"35",""
"80","Drotsky's Cave",-20.333,21.417,"Botswana","Desert Biome",11240,"60","Oakhurst"
"81","Dune Field Midden",-32.301,18.348,"South Africa","Fynbos Biome",6135,"40",""
"82","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",8110,"90",""
"83","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",10840,"70","Oakhurst"
"84","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",11415,"80","Robberg"
"85","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",9800,"160",""
"86","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",10860,"180","Oakhurst"
"87","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",11370,"110","Robberg"
"88","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",10640,"110","Oakhurst"
"89","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",10700,"100","Oakhurst"
"90","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",8000,"95",""
"91","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",8340,"80",""
"92","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",7910,"80",""
"93","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",10000,"90","Oakhurst"
"94","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",9950,"270","Oakhurst"
"95","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",9750,"100",""
"96","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",8860,"90","Oakhurst"
